日期,期号,一,二,三,四,五,六,七,特
2024-01-01,24001,2,9,12,13,18,29,30,7
2024-01-02,24002,2,4,6,7,16,25,26,11
2024-01-03,24003,1,5,10,17,23,24,30,7
2024-01-04,24004,1,5,7,16,20,22,31,28
2024-01-05,24005,8,15,24,25,26,27,31,9
2024-01-06,24006,6,7,16,17,19,30,31,5
2024-01-07,24007,2,7,8,14,21,27,31,17
2024-01-08,24008,4,5,7,23,25,30,31,1
2024-01-09,24009,4,11,18,19,22,23,29,7
2024-01-10,24010,2,4,7,19,21,22,25,20
2024-01-11,24011,1,2,7,18,20,23,24,12
2024-01-12,24012,1,6,8,12,15,17,29,10
2024-01-13,24013,4,8,11,13,27,30,31,23
2024-01-14,24014,4,17,19,21,23,30,31,29
2024-01-15,24015,2,3,4,8,12,25,26,9
2024-01-16,24016,1,2,3,6,7,14,16,24
2024-01-17,24017,4,6,8,14,20,24,27,13
2024-01-18,24018,2,8,9,10,13,19,30,27
2024-01-19,24019,2,6,10,15,25,26,31,5
2024-01-20,24020,2,6,8,14,21,24,29,15
2024-01-21,24021,5,7,13,15,19,26,31,14
2024-01-22,24022,5,19,20,24,25,26,31,8
2024-01-23,24023,1,11,17,20,24,25,30,10
2024-01-24,24024,1,7,12,20,23,26,30,6
2024-01-25,24025,7,9,13,16,17,23,27,12
2024-01-26,24026,4,8,16,17,21,23,26,14
2024-01-27,24027,1,6,13,20,23,27,31,25
2024-01-28,24028,4,10,13,14,16,17,30,27
2024-01-29,24029,4,9,14,16,17,22,30,8
2024-01-30,24030,3,4,5,14,21,27,30,8
2024-01-31,24031,3,4,5,10,20,26,27,24
2024-02-01,24032,2,7,11,17,21,28,29,8
2024-02-02,24033,1,4,6,8,11,17,29,22
2024-02-03,24034,5,10,11,13,20,24,29,9
2024-02-04,24035,1,8,9,11,16,23,27,25
2024-02-05,24036,4,16,17,18,20,23,28,27
2024-02-06,24037,4,5,8,17,24,26,28,21
2024-02-07,24038,4,5,10,13,23,25,26,9
2024-02-18,24039,8,9,13,20,24,29,30,22
2024-02-19,24040,3,5,8,14,26,27,30,10
2024-02-20,24041,4,9,16,17,22,24,25,2
2024-02-21,24042,1,4,7,11,15,19,30,9
2024-02-22,24043,3,9,11,15,20,21,28,25
2024-02-23,24044,1,2,4,8,11,12,30,3
2024-02-24,24045,3,4,6,22,24,28,30,2
2024-02-25,24046,4,6,12,13,18,23,25,14
2024-02-26,24047,1,6,9,10,16,20,29,2
2024-02-27,24048,8,11,19,20,21,28,30,18
2024-02-28,24049,12,18,20,21,26,28,29,6
2024-02-29,24050,2,5,6,14,21,24,30,7
2024-03-01,24051,13,14,20,22,26,28,30,18
2024-03-02,24052,4,8,10,11,14,15,23,16
2024-03-03,24053,1,9,10,16,18,21,30,19
2024-03-04,24054,2,9,20,21,22,27,30,25
2024-03-05,24055,2,7,14,17,20,23,25,8
2024-03-06,24056,10,11,16,19,25,26,31,3
2024-03-07,24057,5,16,19,24,28,30,31,26
2024-03-08,24058,6,10,11,13,17,27,30,22
2024-03-09,24059,2,4,11,13,15,20,23,31
2024-03-10,24060,1,4,6,9,16,21,30,29
2024-03-11,24061,2,3,6,9,13,17,26,20
2024-03-12,24062,14,15,20,22,25,27,31,21
2024-03-13,24063,5,11,14,16,24,26,30,23
2024-03-14,24064,4,5,9,20,21,23,24,31
2024-03-15,24065,2,9,11,16,20,26,30,27
2024-03-16,24066,5,12,14,15,19,21,22,13
2024-03-17,24067,2,6,7,17,27,28,30,9
2024-03-18,24068,1,10,12,13,17,24,27,6
2024-03-19,24069,1,11,15,16,25,27,31,13
2024-03-20,24070,3,4,11,13,22,26,30,17
2024-03-21,24071,5,6,7,17,19,20,31,18
2024-03-22,24072,3,13,17,19,20,23,27,26
2024-03-23,24073,3,12,14,18,21,25,31,17
2024-03-24,24074,3,4,8,9,11,12,28,30
2024-03-25,24075,12,13,14,17,27,28,30,15
2024-03-26,24076,11,12,13,22,27,28,31,20
2024-03-27,24077,1,3,13,15,19,23,28,4
2024-03-28,24078,2,4,10,11,16,23,29,24
2024-03-29,24079,2,5,17,21,29,30,31,14
2024-03-30,24080,3,5,8,9,12,22,31,4
2024-03-31,24081,5,9,12,15,21,25,30,18
2024-04-01,24082,5,9,15,17,19,21,30,27
2024-04-02,24083,1,2,4,9,15,17,26,22
2024-04-03,24084,3,7,11,17,20,27,28,6
2024-04-04,24085,3,7,21,24,25,30,31,20
2024-04-05,24086,8,14,16,19,25,27,31,4
2024-04-06,24087,5,6,7,18,23,27,31,3
2024-04-07,24088,4,8,14,21,26,27,30,24
2024-04-08,24089,7,10,12,17,23,27,30,2
2024-04-09,24090,1,5,14,17,19,20,29,30
2024-04-10,24091,9,18,20,21,24,25,28,29
2024-04-11,24092,6,9,14,16,19,22,27,3
2024-04-12,24093,1,2,5,17,20,27,31,10
2024-04-13,24094,4,10,14,20,21,25,31,26
2024-04-14,24095,6,15,17,20,22,25,30,10
2024-04-15,24096,5,10,14,15,20,21,23,18
2024-04-16,24097,9,11,17,18,20,29,31,10
2024-04-17,24098,5,7,8,11,16,28,31,23
2024-04-18,24099,6,7,9,12,13,18,31,30
2024-04-19,24100,1,3,12,15,21,26,29,25
2024-04-20,24101,18,19,23,24,26,27,30,17
2024-04-21,24102,7,11,18,22,23,26,30,4
2024-04-22,24103,1,4,5,8,14,25,30,7
2024-04-23,24104,8,15,24,25,26,27,30,13
2024-04-24,24105,6,7,13,20,25,28,31,11
2024-04-25,24106,1,12,13,18,23,30,31,24
2024-04-26,24107,1,7,20,21,24,26,29,15
2024-04-27,24108,5,8,11,13,17,18,27,26
2024-04-28,24109,2,6,9,12,14,29,30,19
2024-04-29,24110,3,9,10,16,18,19,20,7
2024-04-30,24111,6,7,8,9,14,21,30,24
2024-05-01,24112,4,7,11,16,17,22,25,28
2024-05-02,24113,7,9,10,11,17,23,31,16
2024-05-03,24114,1,9,14,23,24,28,31,5
2024-05-04,24115,3,4,13,15,23,24,26,2
2024-05-05,24116,1,6,8,16,20,28,31,17
2024-05-06,24117,8,9,14,15,22,29,30,12
2024-05-07,24118,1,4,5,6,9,22,27,23
2024-05-08,24119,1,6,11,17,18,25,30,21
2024-05-09,24120,8,10,12,19,20,27,29,25
2024-05-10,24121,2,5,7,10,12,13,25,27
2024-05-11,24122,2,8,17,19,22,28,29,16
2024-05-12,24123,6,11,20,23,25,28,31,15
2024-05-13,24124,4,5,11,13,15,23,25,14
2024-05-14,24125,1,18,22,23,24,25,26,16
2024-05-15,24126,1,3,4,14,15,25,28,11
2024-05-16,24127,7,9,11,14,15,27,30,4
2024-05-17,24128,5,14,15,22,24,25,30,29
2024-05-18,24129,1,3,7,8,23,24,31,22
2024-05-19,24130,1,2,12,16,18,20,21,4
2024-05-20,24131,7,10,11,13,28,30,31,24
2024-05-21,24132,1,12,14,17,21,25,26,3
2024-05-22,24133,2,3,4,6,20,27,29,10
2024-05-23,24134,4,7,8,10,12,16,31,9
2024-05-24,24135,2,5,6,11,14,23,27,18
2024-05-25,24136,2,3,4,16,18,19,20,15
2024-05-26,24137,4,5,15,24,25,26,29,10
2024-05-27,24138,4,7,9,10,15,22,29,20
2024-05-28,24139,1,4,6,8,9,29,30,14
2024-05-29,24140,1,3,5,11,20,23,27,12
2024-05-30,24141,5,17,21,22,24,27,30,26
2024-05-31,24142,6,7,9,14,22,27,29,19
2024-06-01,24143,4,10,12,15,26,29,31,20
2024-06-02,24144,2,5,8,10,11,12,29,7
2024-06-03,24145,2,8,13,18,25,27,29,10
2024-06-04,24146,1,3,4,8,16,18,26,29
2024-06-05,24147,4,6,12,17,20,25,27,14
2024-06-06,24148,2,5,8,22,23,29,31,12
2024-06-07,24149,3,5,7,10,15,21,30,1
2024-06-08,24150,1,4,5,15,16,18,19,8
2024-06-09,24151,2,4,5,13,14,21,31,12
2024-06-10,24152,6,9,12,16,22,27,28,11
2024-06-11,24153,2,8,9,11,19,24,29,25
2024-06-12,24154,1,3,10,18,20,22,24,27
2024-06-13,24155,3,4,12,16,18,27,29,22
2024-06-14,24156,8,12,13,15,19,26,30,4
2024-06-15,24157,1,16,19,21,23,29,31,26
2024-06-16,24158,1,10,17,22,25,26,29,3
2024-06-17,24159,4,11,12,15,18,21,27,19
2024-06-18,24160,9,10,12,13,21,22,31,23
2024-06-19,24161,2,6,11,12,18,23,24,7
2024-06-20,24162,4,5,6,13,17,18,27,12
2024-06-21,24163,3,6,8,12,18,20,26,4
2024-06-22,24164,11,14,16,17,24,27,29,8
2024-06-23,24165,3,5,6,11,26,30,31,14
2024-06-24,24166,1,2,3,9,15,23,24,4
2024-06-25,24167,7,10,19,20,24,30,31,26
2024-06-26,24168,1,3,16,17,25,28,31,9
2024-06-27,24169,3,9,15,18,19,27,30,31
2024-06-28,24170,1,4,9,11,13,22,24,18
2024-06-29,24171,1,9,10,12,13,22,26,7
2024-06-30,24172,4,5,6,9,19,29,30,25
2024-07-01,24173,3,9,11,13,17,18,24,14
2024-07-02,24174,9,10,16,20,23,25,26,11
2024-07-03,24175,1,10,14,18,25,26,29,7
2024-07-04,24176,6,9,14,15,19,21,27,16
2024-07-05,24177,3,5,14,15,20,21,26,1
2024-07-06,24178,6,8,12,18,19,29,31,17
2024-07-07,24179,1,5,7,13,18,21,28,20
2024-07-08,24180,3,10,11,15,16,20,30,24
2024-07-09,24181,1,10,14,16,17,18,24,27
2024-07-10,24182,4,9,21,24,25,28,29,20
2024-07-11,24183,6,11,16,23,29,30,31,5
2024-07-12,24184,3,4,5,7,18,23,27,22
2024-07-13,24185,2,3,9,12,26,28,30,25
2024-07-14,24186,1,2,7,15,22,23,31,27
2024-07-15,24187,2,6,10,11,18,26,30,14
2024-07-16,24188,3,15,16,18,21,23,24,2
2024-07-17,24189,2,6,7,12,14,16,23,26
2024-07-18,24190,6,11,13,20,23,24,26,28
2024-07-19,24191,5,6,10,14,25,26,27,1
2024-07-20,24192,2,4,5,12,16,19,26,17
2024-07-21,24193,13,14,21,24,26,29,30,5
2024-07-22,24194,5,6,13,16,24,25,28,9
2024-07-23,24195,7,9,14,15,20,27,30,2
2024-07-24,24196,10,15,20,23,28,29,30,2
2024-07-25,24197,2,3,8,13,15,16,31,1
2024-07-26,24198,1,8,13,18,22,23,30,25
2024-07-27,24199,3,5,10,21,22,24,28,14
2024-07-28,24200,10,13,25,26,29,30,31,27
2024-07-29,24201,3,4,5,7,14,16,21,6
2024-07-30,24202,7,14,20,21,24,25,29,28
2024-07-31,24203,2,4,6,13,15,18,29,21
2024-08-01,24204,1,5,7,10,17,27,29,26
2024-08-02,24205,2,7,11,19,24,25,30,15
2024-08-03,24206,1,13,17,23,26,27,31,12
2024-08-04,24207,1,8,9,18,22,24,27,2
2024-08-05,24208,2,9,12,17,23,24,27,6
2024-08-06,24209,3,5,9,11,15,28,31,25
2024-08-07,24210,2,3,4,7,10,11,21,22
2024-08-08,24211,13,17,19,20,26,28,30,16
2024-08-09,24212,1,4,12,15,18,19,27,9
2024-08-10,24213,4,6,8,20,21,28,31,22
2024-08-11,24214,5,6,12,13,15,18,21,11
2024-08-12,24215,2,4,5,15,21,24,26,31
2024-08-13,24216,2,5,10,14,16,17,30,31
2024-08-14,24217,2,9,11,14,22,25,27,5
2024-08-15,24218,5,7,10,11,28,30,31,6
2024-08-16,24219,1,3,9,13,17,19,22,14
2024-08-17,24220,2,5,8,13,17,22,26,23
2024-08-18,24221,7,13,19,22,25,26,31,5
2024-08-19,24222,1,4,5,8,11,24,27,20
2024-08-20,24223,1,8,10,23,24,28,31,5
2024-08-21,24224,4,6,8,18,19,21,25,23
2024-08-22,24225,3,4,7,8,16,25,31,14
2024-08-23,24226,4,9,10,11,15,21,29,3
2024-08-24,24227,5,10,13,14,21,24,29,15
2024-08-25,24228,2,3,5,7,16,22,24,12
2024-08-26,24229,4,8,10,11,16,21,31,23
2024-08-27,24230,9,11,17,21,26,28,30,5
2024-08-28,24231,6,7,12,16,19,27,29,5
2024-08-29,24232,2,4,8,12,25,27,29,7
2024-08-30,24233,7,11,14,18,20,24,28,26
2024-08-31,24234,7,13,20,21,25,27,31,11
2024-09-01,24235,3,4,6,10,15,16,30,26
2024-09-02,24236,2,5,7,10,15,16,28,6
2024-09-03,24237,1,5,8,15,18,28,31,3
2024-09-04,24238,3,4,8,10,12,19,31,17
2024-09-05,24239,7,11,12,16,25,28,30,29
2024-09-06,24240,14,17,20,22,25,28,30,5
2024-09-07,24241,3,5,6,10,17,23,25,22
2024-09-08,24242,2,5,9,11,12,20,27,14
2024-09-09,24243,3,9,18,22,29,30,31,19
2024-09-10,24244,4,11,15,19,28,29,31,2
2024-09-11,24245,2,5,16,20,24,27,29,4
2024-09-12,24246,3,5,17,21,23,28,30,20
2024-09-13,24247,4,6,8,11,15,27,28,16
2024-09-14,24248,2,3,13,14,15,25,31,23
2024-09-15,24249,4,9,11,23,27,29,30,7
2024-09-16,24250,1,6,8,10,11,15,30,12
2024-09-17,24251,10,11,12,19,20,27,28,26
2024-09-18,24252,1,4,7,11,15,28,30,21
2024-09-19,24253,8,17,25,26,27,29,31,22
2024-09-20,24254,5,7,18,21,22,30,31,13
2024-09-21,24255,7,8,11,15,19,25,31,10
2024-09-22,24256,1,8,16,20,22,28,29,12
2024-09-23,24257,4,6,9,19,21,29,31,14
2024-09-24,24258,1,2,7,8,24,25,28,13
2024-09-25,24259,2,9,14,18,19,22,29,6
2024-09-26,24260,2,8,9,13,16,22,30,19
2024-09-27,24261,2,5,8,9,17,21,22,10
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
